"Accession","Symbol","Gene Name","Rank","Fold_Change"
"XM_001125941.1","LOC727848","PREDICTED: Homo sapiens similar to actin-like protein (LOC727848), mRNA.",100,1.54608878940171
"NM_002893.2","RBBP7","Homo sapiens retinoblastoma binding protein 7 (RBBP7), mRNA.",101,1.31140395299025
"NM_139321.1","ATRN","Homo sapiens attractin (ATRN), transcript variant 1, mRNA.",102,1.62959368906331
"NM_005437.2","NCOA4","Homo sapiens nuclear receptor coactivator 4 (NCOA4), mRNA.",103,2.52100905845118
"NM_004120.3","GBP2","Homo sapiens guanylate binding protein 2, interferon-inducible (GBP2), mRNA.",104,3.1958972553851
"NM_032960.2","MAPKAPK2","Homo sapiens mitogen-activated protein kinase-activated protein kinase 2 (MAPKAPK2), transcript variant 2, mRNA.",105,1.54138543214034
"NM_032236.5","USP48","Homo sapiens ubiquitin specific peptidase 48 (USP48), transcript variant 1, mRNA.",106,1.82350121718949
"NM_031468.2","CALN1","Homo sapiens calneuron 1 (CALN1), transcript variant 1, mRNA.",107,1.37285572257717
"NM_017585.2","SLC2A6","Homo sapiens solute carrier family 2 (facilitated glucose transporter), member 6 (SLC2A6), mRNA.",108,5.18921159092531
"XM_937508.2","LOC387934","PREDICTED: Homo sapiens similar to Fatty acid-binding protein, epidermal (E-FABP) (Psoriasis-associated fatty acid-binding protein homolog) (PA-FABP) (LOC387934), mRNA.",109,1.51853907637655
"NM_015549.1","PLEKHG3","Homo sapiens pleckstrin homology domain containing, family G (with RhoGef domain) member 3 (PLEKHG3), mRNA.",110,3.23715976073208
"NM_012475.4","USP21","Homo sapiens ubiquitin specific peptidase 21 (USP21), transcript variant 1, mRNA.",111,1.8515401781059
"NM_005843.3","STAM2","Homo sapiens signal transducing adaptor molecule (SH3 domain and ITAM motif) 2 (STAM2), mRNA.",112,1.31086525010638
"NM_004935.2","CDK5","Homo sapiens cyclin-dependent kinase 5 (CDK5), mRNA.",113,1.92862935669676
"NM_000791.3","DHFR","Homo sapiens dihydrofolate reductase (DHFR), mRNA.",114,1.35641555585051
"NM_203364.2","CAPRIN1","Homo sapiens cell cycle associated protein 1 (CAPRIN1), transcript variant 2, mRNA.",115,1.61209814002191
"NM_025004.1","CCDC15","Homo sapiens coiled-coil domain containing 15 (CCDC15), mRNA.",116,1.64460183299725
"NM_016073.2","HDGFRP3","Homo sapiens hepatoma-derived growth factor, related protein 3 (HDGFRP3), mRNA.",117,2.79644182374598
"NM_032140.1","C16orf48","Homo sapiens chromosome 16 open reading frame 48 (C16orf48), mRNA.",118,1.51465804837364
"NM_004474.3","FOXD2","Homo sapiens forkhead box D2 (FOXD2), mRNA.",119,1.46507043385027
"NM_019049.1","C1orf218","Homo sapiens chromosome 1 open reading frame 218 (C1orf218), mRNA.",120,2.54520876934161
"NM_002569.2","FURIN","Homo sapiens furin (paired basic amino acid cleaving enzyme) (FURIN), mRNA.",121,2.68029161667049
"NM_031212.3","SLC25A28","Homo sapiens solute carrier family 25, member 28 (SLC25A28), mRNA.",122,2.05296114148302
"NM_020192.2","C7orf36","Homo sapiens chromosome 7 open reading frame 36 (C7orf36), mRNA.",123,1.37063478015747
"XM_941635.1","LOC654074","PREDICTED: Homo sapiens similar to heterogeneous nuclear ribonucleoprotein C isoform b, transcript variant 1 (LOC654074), mRNA.",124,1.69607525137853
"NM_145297.3","ZNF626","Homo sapiens zinc finger protein 626 (ZNF626), transcript variant 2, mRNA.",125,1.41512243499481
"NM_130772.3","S100Z","Homo sapiens S100 calcium binding protein Z (S100Z), mRNA.",126,1.96684514521568
"NM_198232.1","RNASE1","Homo sapiens ribonuclease, RNase A family, 1 (pancreatic) (RNASE1), transcript variant 3, mRNA.",127,2.02521879605959
"NM_000945.3","PPP3R1","Homo sapiens protein phosphatase 3 (formerly 2B), regulatory subunit B, alpha isoform (PPP3R1), mRNA.",128,4.04890668165004
"NM_020936.1","DDX55","Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 55 (DDX55), mRNA.",129,2.15010311083138
"NM_005973.4","PRCC","Homo sapiens papillary renal cell carcinoma (translocation-associated) (PRCC), transcript variant 1, mRNA.",130,1.63515761595826
"NM_153207.3","AEBP2","Homo sapiens AE binding protein 2 (AEBP2), mRNA.",131,1.22715182709691
"NM_021173.2","POLD4","Homo sapiens polymerase (DNA-directed), delta 4 (POLD4), mRNA.",132,1.91864796649356
"NM_020819.2","FAM135A","Homo sapiens family with sequence similarity 135, member A (FAM135A), mRNA.",133,1.73257096084639
"XM_942185.1","LOC652634","PREDICTED: Homo sapiens similar to fem-1 homolog a (LOC652634), mRNA.",134,1.49974075844358
"NM_152707.2","SLC25A16","Homo sapiens solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16 (SLC25A16), nuclear gene encoding mitochondrial protein, mRNA.",135,1.57325406460166
"NM_004234.3","ZNF235","Homo sapiens zinc finger protein 235 (ZNF235), mRNA.",136,1.9445618418811
"NM_002738.5","PRKCB1","Homo sapiens protein kinase C, beta 1 (PRKCB1), transcript variant 2, mRNA.",137,1.7090618780752
"NM_004271.3","LY86","Homo sapiens lymphocyte antigen 86 (LY86), mRNA.",138,4.55827052963726
"NM_002884.2","RAP1A","Homo sapiens RAP1A, member of RAS oncogene family (RAP1A), transcript variant 2, mRNA.",139,1.39035360595116
"NM_006195.4","PBX3","Homo sapiens pre-B-cell leukemia homeobox 3 (PBX3), mRNA.",140,1.91366861392889
"NM_014225.3","PPP2R1A","Homo sapiens protein phosphatase 2 (formerly 2A), regulatory subunit A , alpha isoform (PPP2R1A), mRNA.",141,1.55972619060752
"NM_016567.2","BCCIP","Homo sapiens BRCA2 and CDKN1A interacting protein (BCCIP), transcript variant A, mRNA.",142,1.24105377129313
"NM_001024071.1","GCH1","Homo sapiens GTP cyclohydrolase 1 (GCH1), transcript variant 4, mRNA.",143,3.10786889780113
"NM_018070.3","SSBP3","Homo sapiens single stranded DNA binding protein 3 (SSBP3), transcript variant 2, mRNA.",144,2.03699104815706
"NM_175920.3","LNPEP","Homo sapiens leucyl/cystinyl aminopeptidase (LNPEP), transcript variant 2, mRNA.",145,1.71928840622198
"NM_033112.2","C6orf153","Homo sapiens chromosome 6 open reading frame 153 (C6orf153), mRNA.",146,1.77438263434557
"NM_170665.2","ATP2A2","Homo sapiens ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 (ATP2A2), transcript variant 1, mRNA.",147,1.50279173738736
"BM728567","","UI-E-EJ0-aiu-f-01-0-UI.r1 UI-E-EJ0 Homo sapiens cDNA clone UI-E-EJ0-aiu-f-01-0-UI 5, mRNA sequence",148,1.56245970174088
"BM690036","","UI-E-CK1-abr-b-07-0-UI.r1 UI-E-CK1 Homo sapiens cDNA clone UI-E-CK1-abr-b-07-0-UI 5, mRNA sequence",149,1.48090315745479
"BX447862","","BX447862 Homo sapiens T CELLS (JURKAT CELL LINE) Homo sapiens cDNA clone CS0DH002YG04 3-PRIME, mRNA sequence",150,1.84031031754223
"XM_374029","","PREDICTED: Homo sapiens hypothetical LOC389089 (LOC389089), mRNA",151,1.80665518024447
"CR610854","","full-length cDNA clone CS0DC007YK10 of Neuroblastoma Cot 25-normalized of Homo sapiens (human)",152,1.51455974116016
"NM_001039842.1","C17orf90","Homo sapiens chromosome 17 open reading frame 90 (C17orf90), mRNA.",153,2.55971519283518
"NM_000289.3","PFKM","Homo sapiens phosphofructokinase, muscle (PFKM), mRNA.",154,1.75606894101689
"NM_032705.3","C1orf97","Homo sapiens chromosome 1 open reading frame 97 (C1orf97), mRNA.",155,1.77462449310624
"NM_006134.5","TMEM50B","Homo sapiens transmembrane protein 50B (TMEM50B), mRNA.",156,1.84937404924827
"NM_015153.1","PHF3","Homo sapiens PHD finger protein 3 (PHF3), mRNA.",157,1.61289871688712
"NM_000953.2","PTGDR","Homo sapiens prostaglandin D2 receptor (DP) (PTGDR), mRNA.",158,4.26461242464193
"NM_002439.2","MSH3","Homo sapiens mutS homolog 3 (E. coli) (MSH3), mRNA.",159,1.36592243542497
"NM_015578.1","LSM14A","Homo sapiens LSM14A, SCD6 homolog A (S. cerevisiae) (LSM14A), mRNA.",160,1.38946133103998
"NM_207306.1","KIAA0495","Homo sapiens KIAA0495 (KIAA0495), mRNA.",161,1.36525664204212
"NM_032323.1","TMEM79","Homo sapiens transmembrane protein 79 (TMEM79), mRNA.",162,3.83743786890339
"NM_004124.2","GMFB","Homo sapiens glia maturation factor, beta (GMFB), mRNA.",163,1.65253257530954
"NR_002798.1","NAPSB","Homo sapiens napsin B aspartic peptidase pseudogene (NAPSB), non-coding RNA. XR_001413",164,5.06426470042128
"NM_013242.2","C16orf80","Homo sapiens chromosome 16 open reading frame 80 (C16orf80), mRNA.",165,1.78260658779491
"NM_017664.2","ANKRD10","Homo sapiens ankyrin repeat domain 10 (ANKRD10), mRNA.",166,1.80045354299313
"NM_006769.2","LMO4","Homo sapiens LIM domain only 4 (LMO4), mRNA.",167,2.10571443819192
"NM_014629.2","ARHGEF10","Homo sapiens Rho guanine nucleotide exchange factor (GEF) 10 (ARHGEF10), mRNA.",168,1.48707207301794
"NM_001080822.1","LOC91561","Homo sapiens hCG1992539 (LOC91561), mRNA.",169,1.22710736834389
"NM_003290.1","TPM4","Homo sapiens tropomyosin 4 (TPM4), mRNA.",170,1.9244187226214
"NM_144618.1","GABPB2","Homo sapiens GA binding protein transcription factor, beta subunit 2 (GABPB2), mRNA.",171,1.25849531014277
"NM_014398.2","LAMP3","Homo sapiens lysosomal-associated membrane protein 3 (LAMP3), mRNA.",172,3.21316710614111
"NM_003403.3","YY1","Homo sapiens YY1 transcription factor (YY1), mRNA.",173,1.88470644365627
"NM_001008735.1","HMGB1L1","Homo sapiens high-mobility group box 1-like 1 (HMGB1L1), mRNA.",174,2.40770133870033
"NM_015239.1","AGTPBP1","Homo sapiens ATP/GTP binding protein 1 (AGTPBP1), mRNA.",175,2.94506652157429
"NM_016302.2","CRBN","Homo sapiens cereblon (CRBN), mRNA.",176,1.7744744080951
"NM_015199.2","ANKRD28","Homo sapiens ankyrin repeat domain 28 (ANKRD28), mRNA.",177,1.65975748273216
"NM_001034853.1","RPGR","Homo sapiens retinitis pigmentosa GTPase regulator (RPGR), transcript variant C, mRNA.",178,1.47891347785624
"NM_001005176.1","SP140","Homo sapiens SP140 nuclear body protein (SP140), transcript variant 2, mRNA.",179,2.17539722575064
"NM_001136.3","AGER","Homo sapiens advanced glycosylation end product-specific receptor (AGER), transcript variant 1, mRNA.",180,1.57228570280861
"NM_001983.2","ERCC1","Homo sapiens excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence) (ERCC1), transcript variant 2, mRNA.",181,1.71254909928213
"NM_130434.3","DPP8","Homo sapiens dipeptidyl-peptidase 8 (DPP8), transcript variant 1, mRNA.",182,1.41516590123329
"NM_138765.2","BAX","Homo sapiens BCL2-associated X protein (BAX), transcript variant sigma, mRNA.",183,2.08974371583087
"NM_001042586.1","CD1E","Homo sapiens CD1e molecule (CD1E), transcript variant 5, mRNA.",184,2.20709303538604
"NM_139313.1","YME1L1","Homo sapiens YME1-like 1 (S. cerevisiae) (YME1L1), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.",185,1.52930545041635
"NM_006312.3","NCOR2","Homo sapiens nuclear receptor co-repressor 2 (NCOR2), transcript variant 1, mRNA.",186,1.510890946268
"NM_178037.1","ERC1","Homo sapiens ELKS/RAB6-interacting/CAST family member 1 (ERC1), transcript variant beta, mRNA.",187,2.3911817706214
"NM_001040626.1","NCALD","Homo sapiens neurocalcin delta (NCALD), transcript variant 3, mRNA.",188,2.85383423711766
"NM_001001188.3","TRPM2","Homo sapiens transient receptor potential cation channel, subfamily M, member 2 (TRPM2), transcript variant S, mRNA.",189,5.98924822815913
"NM_001013255.1","LSP1","Homo sapiens lymphocyte-specific protein 1 (LSP1), transcript variant 4, mRNA.",190,1.62561694150055
"NM_145897.2","PFDN5","Homo sapiens prefoldin subunit 5 (PFDN5), transcript variant 3, mRNA.",191,1.41955281116009
"NM_001018004.1","TPM1","Homo sapiens tropomyosin 1 (alpha) (TPM1), transcript variant 3, mRNA.",192,3.72819193853728
"NM_006812.2","OS9","Homo sapiens amplified in osteosarcoma (OS9), transcript variant 1, mRNA.",193,1.80395055636617
"NM_145860.1","PDCD10","Homo sapiens programmed cell death 10 (PDCD10), transcript variant 3, mRNA.",194,1.83940009565114
"NM_013387.3","UCRC","Homo sapiens ubiquinol-cytochrome c reductase complex (7.2 kD) (UCRC), transcript variant 1, mRNA.",195,1.71706064596294
"NM_007010.2","DDX52","Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 52 (DDX52), transcript variant 1, mRNA.",196,1.75893238868869
"NM_001037164.1","ARL4A","Homo sapiens ADP-ribosylation factor-like 4A (ARL4A), transcript variant 3, mRNA.",197,4.33830012155481
"NM_199139.1","XAF1","Homo sapiens XIAP associated factor 1 (XAF1), transcript variant 2, mRNA.",198,6.68890247977655
"NM_001009184.1","GRINA","Homo sapiens glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding) (GRINA), transcript variant 2, mRNA.",199,3.95835440783615
"NM_012263.3","TTLL1","Homo sapiens tubulin tyrosine ligase-like family, member 1 (TTLL1), transcript variant 1, mRNA.",200,1.48003179195913
"NM_001040092.1","ENPP2","Homo sapiens ectonucleotide pyrophosphatase/phosphodiesterase 2 (ENPP2), transcript variant 2, mRNA.",201,1.50483232359898
"NM_007108.2","TCEB2","Homo sapiens transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B) (TCEB2), transcript variant 1, mRNA.",202,2.38550683505984
"NM_001031677.2","RAB24","Homo sapiens RAB24, member RAS oncogene family (RAB24), transcript variant 1, mRNA.",203,2.9382664742374
"NM_015043.3","TBC1D9B","Homo sapiens TBC1 domain family, member 9B (with GRAM domain) (TBC1D9B), transcript variant 2, mRNA.",204,1.84936616722217
"NM_001017370.1","NHLRC3","Homo sapiens NHL repeat containing 3 (NHLRC3), transcript variant 2, mRNA.",205,1.86313423073647
"NM_001077628.1","APH1A","Homo sapiens anterior pharynx defective 1 homolog A (C. elegans) (APH1A), transcript variant 1, mRNA.",206,1.56178430106114
"NM_002752.3","MAPK9","Homo sapiens mitogen-activated protein kinase 9 (MAPK9), transcript variant JNK2-a2, mRNA.",207,1.23082453768945
"NM_003487.2","TAF15","Homo sapiens TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa (TAF15), transcript variant 2, mRNA.",208,2.22324396568465
"NM_015638.2","TRPC4AP","Homo sapiens transient receptor potential cation channel, subfamily C, member 4 associated protein (TRPC4AP), transcript variant 1, mRNA.",209,1.84357616808949
"NM_024408.2","NOTCH2","Homo sapiens Notch homolog 2 (Drosophila) (NOTCH2), mRNA.",210,3.08683423148729
"NM_001013399.1","CCNC","Homo sapiens cyclin C (CCNC), transcript variant 2, mRNA.",211,1.45610966959606
